FID,Body,Region,Diameter,Height,Axis Ratio,Tilted
0,Europa,Conamara,6.717933632,0.097856,2.031688894,Y
4,Europa,Conamara,2.900952195,0.11636,1.388297872,Y
14,Europa,Conamara,2.152436136,0.146404,1.412692156,Y
17,Europa,Conamara,2.363637999,0.153238,1.340425532,Y
24,Europa,Conamara,1.429993723,0.13977,1.101083033,Y
26,Europa,Conamara,2.651614152,0.228443,1.200759374,Y
27,Europa,Conamara,2.687671645,0.176626,1.008019741,Y
40,Europa,Conamara,2.346437508,0.218505,1.49537037,Y
43,Europa,Conamara,4.82870746,0.170108,1.571275456,Y
68,Europa,Conamara,3.573782897,0.240939,2.838457238,Y
73,Europa,Conamara,4.29926689,0.138792,1.079646018,Y
77,Europa,Conamara,3.708808948,0.176779,1.508474576,Y
105,Europa,Conamara,2.557816809,0.20921,1.068,Y
110,Europa,Conamara,4.848851873,0.119818,1.954883609,Y
121,Europa,Conamara,1.938191608,0.178459,1.338461539,Y
125,Europa,Conamara,5.430682668,0.117584,1.682393556,Y
138,Europa,Conamara,4.566323382,0.105899,3.019755171,Y
3,Europa,Conamara,3.884692262,0.163845,1.497104902,M
12,Europa,Conamara,2.798356848,0.17166,2.735608762,M
21,Europa,Conamara,2.507204356,0.146573,1.831588963,M
22,Europa,Conamara,2.446544282,0.104567,1.487358007,M
23,Europa,Conamara,2.123091439,0.125842,1.006525286,M
25,Europa,Conamara,1.983862845,0.173403,1.697916666,M
31,Europa,Conamara,3.983123446,0.185389,1.757188499,M
37,Europa,Conamara,5.477101219,0.179827,2.620754717,M
38,Europa,Conamara,3.308895116,0.101973,1.572222222,M
62,Europa,Conamara,4.651162324,0.104077,1.010344827,M
89,Europa,Conamara,2.693179537,0.184328,1.819497335,M
92,Europa,Conamara,3.450709307,0.185385,1.825146462,M
100,Europa,Conamara,5.29334181,0.179838,1.532051282,M
116,Europa,Conamara,5.492122907,0.094036,1.540935672,M
117,Europa,Conamara,4.644412473,0.140251,2.62344052,M
118,Europa,Conamara,5.223525413,0.088356,1.531707317,M
119,Europa,Conamara,3.478456761,0.117126,1.982533889,M
129,Europa,Conamara,2.648122113,0.083142,2.177346726,M
132,Europa,Conamara,3.623853696,0.121334,2.473042836,M
136,Europa,Conamara,2.294816723,0.159867,1.245731254,M
1,Europa,Conamara,7.78063042,0.120438,1.562313332,N
2,Europa,Conamara,6.172517286,0.089252,1.471788715,N
5,Europa,Conamara,3.235360286,0.148409,1.412209303,N
6,Europa,Conamara,3.04212546,0.196531,1.234091218,N
7,Europa,Conamara,5.336331872,0.134516,1.241935484,N
8,Europa,Conamara,3.742586403,0.127324,1.72459893,N
9,Europa,Conamara,3.567674073,0.132459,2.04772243,N
10,Europa,Conamara,8.712171457,0.137702,1.017833924,N
11,Europa,Conamara,2.690906657,0.127587,1.685254692,N
13,Europa,Conamara,3.646480149,0.105859,1.576352136,N
15,Europa,Conamara,4.555451494,0.116516,2.014516936,N
16,Europa,Conamara,7.224739231,0.100761,1.154445093,N
18,Europa,Conamara,8.815867576,0.182227,1.139607928,N
19,Europa,Conamara,4.431878614,0.182186,2.226796517,N
20,Europa,Conamara,3.695502576,0.072969,1.467126436,N
